﻿Venue Name,Venue address,Venue type,Latitude,Longitude,Suburb,suburb_list,geolocation
"Lex Ord Park, Taringa","Lex Ord Park, 224 Indooroopilly Road, Taringa",Park,-27.5013,152.9915,Taringa,"T, Taringa","-27.5013, 152.9915"
"Lexus Street Park, Runcorn","Lexus Street Park, 18 Lexus Street, Runcorn",Park,-27.6006,153.0747,Runcorn,"R, Runcorn","-27.6006, 153.0747"
"Leyshon Park, Yeronga","Leyshon Park, 230 Brisbane Corso, Yeronga",Park,-27.5082,153.0163,Yeronga,"Y, Yeronga","-27.5082, 153.0163"
"Lillian Avenue Park, Salisbury","Lillian Avenue Park, 309 Lillian Avenue, Salisbury",Park,-27.556,153.038,Salisbury,"S, Salisbury","-27.556, 153.038"
"Lindsay Evans Memorial Park, Runcorn","Lindsay Evans Memorial Park, 21 Celica Street, Runcorn",Park,-27.6016,153.0756,Runcorn,"R, Runcorn","-27.6016, 153.0756"
Lions Park,"Lions Park, Birkin Road, Bellbowrie",Park,-27.5626,152.8925,Bellbowrie,"B, Bellbowrie","-27.5626, 152.8925"
"Liquidamber Place Park, Stretton","Liquidamber Place Park, 24 Liquidamber Place, Stretton",Park,-27.6202,153.0647,Stretton,"S, Stretton","-27.6202, 153.0647"
Little Bayside Park (road reserve),"Little Bayside Park, 42 Fairlead Crescent, Manly",Park,-27.4524,153.1869,Manly,"M, Manly","-27.4524, 153.1869"
"Livesay Road Park, Bellbowrie","Livesay Road Park, 3298 Moggill Road, Bellbowrie",Park,-27.568,152.8845,Bellbowrie,"B, Bellbowrie","-27.568, 152.8845"
"Lockrose Street Park, Mitchelton","Lockrose Street Park, 10 Pibbin Close, Mitchelton",Park,-27.4148,152.9661,Mitchelton,"M, Mitchelton","-27.4148, 152.9661"
"Lone Pine Park, Fig Tree Pocket","Lone Pine Park, 642 Jesmond Road, Fig Tree Pocket",Park,-27.5306,152.9693,Fig Tree Pocket,"F, Fig Tree Pocket","-27.5306, 152.9693"
"Lorikeet Park (Algester), Algester","Lorikeet Park (Algester), 45 Woodland Street, Algester",Park,-27.604044,153.041737,Algester,"A, Algester","-27.604044, 153.041737"
"Lorikeet Park, Mount Ommaney","Lorikeet Park, 158 Dandenong Road, Mount Ommaney",Park,-27.5491,152.934,Mt Ommaney,"M, Mt Ommaney","-27.5491, 152.934"
"Lota Camping Reserve, Lota","Lota Camping Reserve, 710 Esplanade, Lota",Park,-27.4657,153.1922,Lota,"L, Lota","-27.4657, 153.1922"
"Lota Creek Reserve, Lota","Lota Creek Reserve, 58 Beltana Street, Lota",Park,-27.4727,153.1886,Lota,"L, Lota","-27.4727, 153.1886"
Lota Esplanade Park,"Lota Esplanade Park, Booran Street, Lota",Park,-27.4736,153.193,Lota,"L, Lota","-27.4736, 153.193"
"Lota Point Park (road reserve), Lota","Lota Point Park, 827 Esplanade, Lota",Park,-27.4738,153.1926,Lota,"L, Lota","-27.4738, 153.1926"
"Love Street Park, Bulimba","Love Street Park, 76 Love Street, Bulimba",Park,-27.4543,153.0555,Bulimba,"B, Bulimba","-27.4543, 153.0555"
"Lucock Place Park, Oxley","Lucock Place Park, 16 Stephenson Street, Oxley",Park,-27.5605,152.9707,Oxley,"O, Oxley","-27.5605, 152.9707"
"Lugg Street Park, Red Hill","Lugg Street Park, 99 Lugg Street, Red Hill",Park,-27.449,152.9922,Red Hill,"R, Red Hill","-27.449, 152.9922"
"Lutwyche Cemetery, Kedron","Lutwyche Cemetery, 418 Gympie Road, Kedron",General Council venue,-27.4004,153.0308,Kedron,"K, Kedron","-27.4004, 153.0308"
Luxworth Place (road reserve),"Luxworth Place, 135 Beaudesert Road, Moorooka",Park,-27.532,153.0239,Moorooka,"M, Moorooka","-27.532, 153.0239"
"Lynelle Street Park (Lot 300), Sunnybank Hills","Lynelle Street Park (Lot 300), 49 Lynelle Street, Sunnybank Hills",Park,-27.6022,153.0507,Sunnybank Hills,"S, Sunnybank Hills","-27.6022, 153.0507"
"Lyons Playground Park, Highgate Hill","Lyons Playground Park, 25 Paradise Street, Highgate Hill","Community Garden,Park",-27.4889,153.0127,Highgate Hill,"H, Highgate Hill","-27.4889, 153.0127"
"Lytton Road Park, Morningside","Lytton Road Park, 202 Lytton Road, Morningside",Park,-27.4527,153.0728,Morningside,"M, Morningside","-27.4527, 153.0728"
"M.Z. Holland Memorial Park, Wacol","M.Z. Holland Memorial Park, 57 Monterey Street, Wacol",Park,-27.5925,152.922,Wacol,"W, Wacol","-27.5925, 152.922"
"Macaranga Crescent Park, Carseldine","Macaranga Crescent Park, 1779 Gympie Road, Carseldine",Park,-27.3398,153.0131,Carseldine,"C, Carseldine","-27.3398, 153.0131"
"Mackenzie Park, Mackenzie","Mackenzie Park, 9 Rembrandt Way, Mackenzie",Park,-27.5425,153.1258,Mackenzie,"M, Mackenzie","-27.5425, 153.1258"
Mackenzie Place Park,"Mackenzie Place Park, 59 Aubigny Street, Annerley",Park,-27.5233,153.0289,Annerley,"A, Annerley","-27.5233, 153.0289"
"Macleay Crescent Park, Tingalpa","Macleay Crescent Park, 68 Macleay Crescent, Tingalpa",Park,-27.4724,153.1445,Tingalpa,"T, Tingalpa","-27.4724, 153.1445"
"Macquarie Way Park (no.123), Drewvale","Macquarie Way Park (no.123), 123 Macquarie Way, Drewvale",Park,-27.6529,153.0571,Drewvale,"D, Drewvale","-27.6529, 153.0571"
"Mactier Street Park, Fig Tree Pocket","Mactier Street Park, 745 Fig Tree Pocket Road, Fig Tree Pocket",Park,-27.5361,152.9635,Fig Tree Pocket,"F, Fig Tree Pocket","-27.5361, 152.9635"
"Maggs Street Park, Wavell Heights","Maggs Street Park, Taylor Street, Wavell Heights",Park,-27.3962,153.039,Wavell Heights,"W, Wavell Heights","-27.3962, 153.039"
Maida Lilley Community Centre,"Maida Lilley Community Centre, 5 Green Square Close, Fortitude Valley",Community Hall,-27.454485,153.034809,Fortitude Valley,"F, Fortitude Valley","-27.454485, 153.034809"
"Maidstone Street Park, Kelvin Grove","Maidstone Street Park, 9 Maidstone Street, Kelvin Grove",Park,-27.4546,153.0157,Kelvin Grove,"K, Kelvin Grove","-27.4546, 153.0157"
"Main Auditorium, Brisbane City Hall","Brisbane City Hall, 64 Adelaide Street, Brisbane",Library,-27.4691,153.0241,Brisbane City,"B, Brisbane City","-27.4691, 153.0241"
"Main Avenue Park, Wavell Heights","Main Avenue Park, 49 Main Avenue, Wavell Heights",Park,-27.3842,153.0505,Wavell Heights,"W, Wavell Heights","-27.3842, 153.0505"
"Maisie Dixon Park, Eight Mile Plains","Maisie Dixon Park, 46 Nardie Street, Eight Mile Plains",Park,-27.5682,153.101,Eight Mile Plains,"E, Eight Mile Plains","-27.5682, 153.101"
"Majestic Park, Coorparoo","Majestic Park, 62 Park Street, Coorparoo",Park,-27.5083,153.0673,Coorparoo,"C, Coorparoo","-27.5083, 153.0673"
"Malaga Street Park, McDowall","Malaga Street Park, 71 Malaga Street, McDowall",Park,-27.3897,152.9872,McDowall,"M, McDowall","-27.3897, 152.9872"
"Mango Street Park, Runcorn","Mango Street Park, 14 Mango Street, Runcorn",Park,-27.5954,153.0811,Runcorn,"R, Runcorn","-27.5954, 153.0811"
"Manly Pool, Manly","Manly Pool, 1 Fairlead Crescent, Manly",Swimming pool,-27.4535,153.1875,Manly,"M, Manly","-27.4535, 153.1875"
Manly West mobile library,"Manly West mobile library, Mayfair Village Shopping Centre, Manly Road, Manly West",Mobile library,-27.4743,153.1554,Manly West,"M, Manly West","-27.4743, 153.1554"
"Mann Park, Windsor","Mann Park, 23 Byrne Street, Windsor",Park,-27.4413,153.033,Windsor,"W, Windsor","-27.4413, 153.033"
"Mansfield Park, Indooroopilly","Mansfield Park, 1 Gilgandra Street, Indooroopilly",Park,-27.5083,152.9869,Indooroopilly,"I, Indooroopilly","-27.5083, 152.9869"
"Marathon Street Park, Aspley","Marathon Street Park, 36 Marathon Street, Aspley",Park,-27.371354,153.034934,Aspley,"A, Aspley","-27.371354, 153.034934"
"Marchant Park, Aspley","Marchant Park, 1105 Gympie Road, Aspley",Park,-27.3755,153.0298,Aspley,"A, Aspley","-27.3755, 153.0298"
"Markham Street Park, Darra","Markham Street Park, 5 Kokoda Street, Darra",Park,-27.5747,152.9427,Darra,"D, Darra","-27.5747, 152.9427"
"Marmindie Street Park, Chapel Hill","Marmindie Street Park, 71 Marminde Street, Chapel Hill",Park,-27.4928,152.948,Chapel Hill,"C, Chapel Hill","-27.4928, 152.948"
"Marnham Street Park, Acacia Ridge","Marnham Street Park, 45 Marnham Street, Acacia Ridge",Park,-27.595,153.0254,Acacia Ridge,"A, Acacia Ridge","-27.595, 153.0254"
"Marshall Park, Kelvin Grove","Marshall Park, 140A Kelvin Grove Road, Kelvin Grove",Park,-27.4533,153.0114,Kelvin Grove,"K, Kelvin Grove","-27.4533, 153.0114"
"Martindale Street Park, Chermside West","Martindale Street Park, 95 Stringybark Drive, Chermside West",Park,-27.3753,153.0046,Chermside West,"C, Chermside West","-27.3753, 153.0046"
"Mary Chayter Park, Tarragindi","Mary Chayter Park, 76 Tennessee Avenue, Tarragindi",Park,-27.5251,153.034,Tarragindi,"T, Tarragindi","-27.5251, 153.034"
"Matisse Street Park, Carseldine","Matisse Street Park, 26 Matisse Street, Carseldine",Park,-27.3452,153.0205,Carseldine,"C, Carseldine","-27.3452, 153.0205"
"Matthew Gardiner Park, Carseldine","Matthew Gardiner Park, 9 Denver Road, Carseldine",Park,-27.3507,153.0202,Carseldine,"C, Carseldine","-27.3507, 153.0202"
"Mauritius Parade Park, Forest Lake","Mauritius Parade Park, 26 Mauritus Parade, Forest Lake",Park,-27.6232,152.9682,Forest Lake,"F, Forest Lake","-27.6232, 152.9682"
"Mayfield Gardens, Moorooka","Mayfield Gardens, 311 Tarragindi Road, Moorooka",Park,-27.5336,153.0323,Moorooka,"M, Moorooka","-27.5336, 153.0323"
"Maynard Place Park, Runcorn","Maynard Place Park, 20 Maynard Place, Runcorn",Park,-27.6062,153.0716,Runcorn,"R, Runcorn","-27.6062, 153.0716"
"McCaskill Road Park, Pullenvale","McCaskill Road Park, 16 McCaskill Road, Pullenvale",Park,-27.4539,153.012,Pullenvale,"P, Pullenvale","-27.4539, 153.012"
"McConaghy Street Park (nos. 171-235), Mitchelton","McConaghy Street Park (nos. 171-235), 171 McConaghy Street, Mitchelton",Park,-27.4035,152.9773,Mitchelton,"M, Mitchelton","-27.4035, 152.9773"
"McCook Park, Newmarket","McCook Park, 320 Newmarket Road, Newmarket",Park,-27.4366,153.013,Newmarket,"N, Newmarket","-27.4366, 153.013"
McCormack Avenue Park,"McCormack Avenue Park, 27 McCormack Avenue, Ashgrove",Park,-27.435,152.9928,Ashgrove,"A, Ashgrove","-27.435, 152.9928"
McDowall Reserve,"McDowall Reserve, Corner of Speilberg Street and Stallone Circuit, McDowall",Park,-27.3777,152.9865,McDowall,"M, McDowall","-27.3777, 152.9865"
"McEwan Park, Inala","McEwan Park, 400 Archerfield Road, Inala",Park,-27.591,152.9607,Inala,"I, Inala","-27.591, 152.9607"
"McGinn Road Park (no. 130), Ferny Grove","McGinn Road Park (no. 130), 130 McGinn Road, Ferny Grove",Park,-27.4063,152.9243,Ferny Grove,"F, Ferny Grove","-27.4063, 152.9243"
"McGregor Way Park (nos. 30-34), Ferny Grove","McGregor Way Park (nos. 30-34), 23A Selkirk Crescent, Ferny Grove",Park,-27.4067,152.9208,Ferny Grove,"F, Ferny Grove","-27.4067, 152.9208"
"McKinlay-Davey Park, Eight Mile Plains","McKinlay-Davey Park, 165 Holmead Road, Eight Mile Plains",Park,-27.5748,153.1002,Eight Mile Plains,"E, Eight Mile Plains","-27.5748, 153.1002"
"McKinnon Court Park, Upper Kedron","McKinnon Court Park, 7 McKinnon Court, Upper Kedron",Park,-27.414,152.9176,Upper Kedron,"U, Upper Kedron","-27.414, 152.9176"
McKoy Street Park,"McKoy Street Park, 1 McKoy Street, Coopers Plains",Park,-27.57243,153.044143,Coopers Plains,"C, Coopers Plains","-27.57243, 153.044143"
"McLean Parade Park, Ashgrove","McLean Parade Park, 40 McLean Parade, Ashgrove",Park,-27.4387,152.9914,Ashgrove,"A, Ashgrove","-27.4387, 152.9914"
"McLeod Court Park, McDowall","McLeod Court Park, 36 Margaret Street, McDowall",Park,-27.3892,152.9957,McDowall,"M, McDowall","-27.3892, 152.9957"
"McPherson Park, Bracken Ridge","McPherson Park, 146 Denham Street, Bracken Ridge",Park,-27.3216,153.0422,Bracken Ridge,"B, Bracken Ridge","-27.3216, 153.0422"
"Mcpherson Road Park, Seventeen Mile Rocks","Mcpherson Road Park, 36 Edenbrooke Drive, Seventeen Mile Rocks",Park,-27.547,152.9525,Seventeen Mile Rocks,"S, Seventeen Mile Rocks","-27.547, 152.9525"
"Meadowbank Street Park, Carindale","Meadowbank Street Park, 114 Weekes Road, Carindale",Park,-27.5101,153.1051,Carindale,"C, Carindale","-27.5101, 153.1051"
"Meadowlands Picnic Ground Park, Tingalpa","Meadowlands Picnic Ground Park, 184 Stanton Road, Tingalpa",Park,-27.4827,153.1184,Tingalpa,"T, Tingalpa","-27.4827, 153.1184"
"Melaleuca Green Park, Chermside West","Melaleuca Green Park, 54 Maundrell Terrace, Chermside West",Park,-27.3867,153.0097,Chermside West,"C, Chermside West","-27.3867, 153.0097"
"Melrose Close Park, Carindale","Melrose Close Park, 15 Melrose Close, Carindale",Park,-27.5163,153.1164,Carindale,"C, Carindale","-27.5163, 153.1164"
"Melrose Park, Wooloowin","Melrose Park, Rose and Roseleigh Streets, Wooloowin",Park,-27.414,153.0441,Wooloowin,"W, Wooloowin","-27.414, 153.0441"
"Melrose Place Park (no. 14), Runcorn","Melrose Place Park (no. 14), 14 Melrose Place, Runcorn",Park,-27.6105,153.0682,Runcorn,"R, Runcorn","-27.6105, 153.0682"
"Mensforth Bushland, Bracken Ridge","Mensforth Bushland, 122 Childs Street, Bracken Ridge",Park,-27.3259,153.0492,Bracken Ridge,"B, Bracken Ridge","-27.3259, 153.0492"
"Mercer Park, Kedron","Mercer Park, 100 Fifth Avenue, Kedron",Park,-27.409211,153.039415,Kedron,"K, Kedron","-27.409211, 153.039415"
"Merlina Street Park, Manly West","Merlina Street Park, 11 Merlina Street, Manly West",Park,-27.4656,153.1693,Manly West,"M, Manly West","-27.4656, 153.1693"
"Merri Merri Park, Chapel Hill","Merri Merri Park, 105 Greenford Street, Chapel Hill",Park,-27.4848,152.9393,Chapel Hill,"C, Chapel Hill","-27.4848, 152.9393"
"Merriwa Park, Sunnybank Hills","Merriwa Park, 23 Goorong Street, Sunnybank Hills",Park,-27.5948,153.0622,Sunnybank Hills,"S, Sunnybank Hills","-27.5948, 153.0622"
"Merthyr Park, New Farm","Merthyr Park, 42 Oxlade Drive, New Farm",Park,-27.4751,153.0464,New Farm,"N, New Farm","-27.4751, 153.0464"
"Merthyr Road Park (no. 2), New Farm","Merthyr Road Park (no. 2), 2 Merthyr Road, New Farm",Park,-27.471215,153.041187,New Farm,"N, New Farm","-27.471215, 153.041187"
"Merthyr Road Park, New Farm","Merthyr Road Park, 22 Refinery Parade, New Farm",Park,-27.4624,153.0508,New Farm,"N, New Farm","-27.4624, 153.0508"
"Metro Arts, West End","Metro Arts, 97 Boundary Street, West End",Non-Council venue,-27.4781968,153.0120364,West End,"W, West End","-27.4781968, 153.0120364"
"Michael Place Park, Bracken Ridge","Michael Place Park, 20 Michael Place, Bracken Ridge",Park,-27.3251,153.0321,Bracken Ridge,"B, Bracken Ridge","-27.3251, 153.0321"
"Mikado Street Park, Ascot","Mikado Street Park, 161 Crosby Road, Ascot",Park,-27.4337,153.0531,Ascot,"A, Ascot","-27.4337, 153.0531"
"Milton Park, Milton","Milton Park, 28 Eagle Terrace, Milton",Park,-27.471,153.0006,Milton,"M, Milton","-27.471, 153.0006"
"Milton Urban Common, Milton","Milton Urban Common, 3 Manning Street, Milton",Park,-27.4697544,153.0027197,Milton,"M, Milton","-27.4697544, 153.0027197"
"Mindona Rotary Park, Wishart","Mindona Rotary Park, 25 Mindona Street, Wishart",Park,-27.556,153.1039,Wishart,"W, Wishart","-27.556, 153.1039"
"Ming-Shan Park, Calamvale","Ming-Shan Park, 841 Gowan Road, Calamvale",Park,-27.6276,153.0562,Calamvale,"C, Calamvale","-27.6276, 153.0562"
"Mingoola Park, Murarrie","Mingoola Park, 22 Mingoola Street, Murarrie",Park,-27.4587,153.1012,Murarrie,"M, Murarrie","-27.4587, 153.1012"
Minnippi Golf Course,"Minnippi Golf Course, Minnippi Boulevard, Cannon Hill","General Council venue,Golf course",-27.4780594,153.1016361,Cannon Hill,"C, Cannon Hill","-27.4780594, 153.1016361"
Minnippi Parklands,"Minnippi Parklands, Stanton Road, Tingalpa",Park,-27.4774,153.1185,Tingalpa,"T, Tingalpa","-27.4774, 153.1185"
"Mirbelia Street Park, Kenmore Hills","Mirbelia Street Park, 27 Mirbelia Street, Kenmore Hills",Park,-27.5042,152.938,Kenmore Hills,"K, Kenmore Hills","-27.5042, 152.938"
"Mirrabooka Road Park, Ashgrove","Mirrabooka Road Park, 4 Felton Street, Ashgrove",Park,-27.4385,152.9819,Ashgrove,"A, Ashgrove","-27.4385, 152.9819"
"Miskin Street Park, Toowong","Miskin Street Park, 128 Miskin Street, Toowong",Park,-27.4882,152.9835,Toowong,"T, Toowong","-27.4882, 152.9835"
Mitchelton Library,"Mitchelton Library, 37 Heliopolis Parade, Mitchelton",Library,-27.417154,152.978381,Mitchelton,"M, Mitchelton","-27.417154, 152.978381"
"Mitchelton Park, Mitchelton","Mitchelton Park, 36 Prospect Road, Mitchelton",Park,-27.4145,152.979,Mitchelton,"M, Mitchelton","-27.4145, 152.979"
"Moggill Cemetery, Bellbowrie","Moggill Cemetery, 3132 Moggill Road, Bellbowrie",General Council venue,-27.5584,152.8894,Bellbowrie,"B, Bellbowrie","-27.5584, 152.8894"
Moggill District Sports Park,"Moggill District Sports Park, 3660 Moggill Road, Moggill",Park,-27.5797767,152.8638069,Moggill,"M, Moggill","-27.5797767, 152.8638069"
"Moggill Ferry Reserve, Moggill","Moggill Ferry Reserve, 3882 Moggill Road, Moggill",Park,-27.5941,152.8575,Moggill,"M, Moggill","-27.5941, 152.8575"
"Molle Road Park, Ransome","Molle Road Park, 177 Molle Road, Ransome",Park,-27.4973,153.1847,Ransome,"R, Ransome","-27.4973, 153.1847"
Monash Road Park (road reserve),"Monash Road Park, 221 Monash Road, Tarragindi",Park,-27.5344,153.057,Tarragindi,"T, Tarragindi","-27.5344, 153.057"
"Monier Road Park (nos. 44-84), Darra","Monier Road Park (nos. 44-84), 52 Monier Road, Darra",Park,-27.5567,152.9587,Darra,"D, Darra","-27.5567, 152.9587"
"Monoceros Street Park, Inala","Monoceros Street Park, 40 Monoceros Street, Inala",Park,-27.6083,152.9622,Inala,"I, Inala","-27.6083, 152.9622"
"Montanus Drive Park, Bellbowrie","Montanus Drive Park, 73 Montanus Drive, Bellbowrie",Park,-27.5606,152.8776,Bellbowrie,"B, Bellbowrie","-27.5606, 152.8776"
"Monterey Circuit Park, Tingalpa","Monterey Circuit Park, 45 Monterey Circuit, Tingalpa",Park,-27.4691,153.1448,Tingalpa,"T, Tingalpa","-27.4691, 153.1448"
"Montrose Park, Corinda","Montrose Park, 54 Consort Street, Corinda",Park,-27.543111,152.976553,Corinda,"C, Corinda","-27.543111, 152.976553"
Moola Road Park (road reserve),"Moola Road Park, 39 Moola Road, Ashgrove",Park,-27.4407,152.9817,Ashgrove,"A, Ashgrove","-27.4407, 152.9817"
"Moolabin Park, Moorooka","Moolabin Park, 50 Vendale Avenue, Moorooka",Park,-27.5287,153.0261,Moorooka,"M, Moorooka","-27.5287, 153.0261"
"Moonie Avenue Park, Murarrie","Moonie Avenue Park, 9 Governor Terrace, Murarrie",Park,-27.4592,153.0958,Murarrie,"M, Murarrie","-27.4592, 153.0958"
"Moora Park, Shorncliffe","Moora Park, 65 Park Parade, Shorncliffe",Park,-27.3245,153.0848,Shorncliffe,"S, Shorncliffe","-27.3245, 153.0848"
"Moorbell Street Park, Tarragindi","Moorbell Street Park, 58 Moorbell Street, Tarragindi",Park,-27.5331,153.0527,Tarragindi,"T, Tarragindi","-27.5331, 153.0527"
"Moordale Street Park, Chapel Hill","Moordale Street Park, 69 Moordale Street, Chapel Hill",Park,-27.5038,152.9581,Chapel Hill,"C, Chapel Hill","-27.5038, 152.9581"
"Moore Park, Indooroopilly","Moore Park, 27 Russell Terrace, Indooroopilly",Park,-27.4979,152.9656,Indooroopilly,"I, Indooroopilly","-27.4979, 152.9656"
"Moorgumpin Park, Kooringal","Moorgumpin Park, 45 Kooringal Esplanade, Kooringal",Park,-27.3529,153.4198,Kooringal,"K, Kooringal","-27.3529, 153.4198"
"Moorhen Flats, Coorparoo","Moorhen Flats, 20 Turbo Drive, Coorparoo",Park,-27.4915,153.0477,Coorparoo,"C, Coorparoo","-27.4915, 153.0477"
"Moorlands Park, Auchenflower","Moorlands Park, 503 Coronation Drive, Auchenflower",Park,-27.4784,152.9966,Auchenflower,"A, Auchenflower","-27.4784, 152.9966"
"Moorooka Community Centre, Moorooka","Moorooka Community Centre, 40 Gainsborough Street, Moorooka",Community Hall,-27.5354,153.0208,Moorooka,"M, Moorooka","-27.5354, 153.0208"
"Moorooka Lions Bicentennial Picnic Ground Park, Moorooka","Moorooka Lions Bicentennial Picnic Ground Park, 909 Ipswich Road, Moorooka",Park,-27.5261,153.021,Moorooka,"M, Moorooka","-27.5261, 153.021"
"Moorooka Playground Park, Moorooka","Moorooka Playground Park, 25 Nettleton Crescent, Moorooka",Park,-27.542,153.0239,Moorooka,"M, Moorooka","-27.542, 153.0239"
"Moreton Bay Lions Park, Wynnum","Moreton Bay Lions Park, 20 Barnham Street, Wynnum",Park,-27.4518,153.1697,Wynnum,"W, Wynnum","-27.4518, 153.1697"
"Morningside Tennis Centre, Morningside","Morningside Tennis Centre, 123 Beverley Street, Morningside",Non-Council venue,-27.4615922,153.076924,Morningside,"M, Morningside","-27.4615922, 153.076924"
"Morse Street Park, Newstead","Morse Street Park, 7 Morse Street, Newstead",Park,-27.5116,153.0714,Newstead,"N, Newstead","-27.5116, 153.0714"
"Mortimer Road Park, Acacia Ridge","Mortimer Road Park, 174 Mortimer Road, Acacia Ridge",Park,-27.5767,153.0175,Acacia Ridge,"A, Acacia Ridge","-27.5767, 153.0175"
"Moses Adsett Park, The Gap","Moses Adsett Park, 6 Clare Place, The Gap",Park,-27.455,152.9351,The Gap,"T, The Gap","-27.455, 152.9351"
"Moss Road (no. 42) Park, Wakerley","Moss Road (no. 42) Park, 64 Watervale Parade, Wakerley",Park,-27.4781,153.1586,Wakerley,"W, Wakerley","-27.4781, 153.1586"
"Mossvale Drive Park, Wakerley","Mossvale Drive Park, 7 Torrens Crescent, Wakerley",Park,-27.4809,153.158,Wakerley,"W, Wakerley","-27.4809, 153.158"
"Mount Gravatt Cemetery and Crematorium, Nathan","Mount Gravatt Cemetery and Crematorium, 620 Mains Road, Nathan",General Council venue,-27.5615,153.0658,Nathan,"N, Nathan","-27.5615, 153.0658"
"Mount Gravatt Outlook Reserve, Mount Gravatt","Mount Gravatt Outlook Reserve, 185 Mt Gravatt Road, Mount Gravatt",General Council venue,-27.5615,153.0658,Mt Gravatt,"M, Mt Gravatt","-27.5615, 153.0658"
"Mount Ommaney Bushland Reserve, Mount Ommaney","Mount Ommaney Bushland Reserve, 12 Summit Place, Mount Ommaney",Park,-27.542961,152.92728,Mt Ommaney,"M, Mt Ommaney","-27.542961, 152.92728"
"Movilla Street Park, Ferny Grove","Movilla Street Park, 7 Bantry Place, Ferny Grove",Park,-27.4027,152.9346,Ferny Grove,"F, Ferny Grove","-27.4027, 152.9346"
"Mowbray Park, East Brisbane","Mowbray Park, 78 Lytton Road, East Brisbane",Park,-27.4785,153.0442,East Brisbane,"E, East Brisbane","-27.4785, 153.0442"
Mt Coot-tha Forest,"Mt Coot-tha Forest, Simpson's Road and Sir Samuel Griffith Drive, Mt Coot-tha",Park,-27.4713,152.9428,Mt Coot-tha,"M, Mt Coot-tha","-27.4713, 152.9428"
Mt Coot-tha Library,"Mt Coot-tha Library, Brisbane Botanic Gardens, 152 Mt Coot-tha Road, Mt Coot-tha",Library,-27.475615,152.976016,Mt Coot-tha,"M, Mt Coot-tha","-27.475615, 152.976016"
"Mt Coot-tha Reserve, Mt Coot-tha","Mt Coot-tha Reserve, 200 Mt Coot-tha Road, Mt Coot-tha",Park,-27.4726,152.931,Mt Coot-tha,"M, Mt Coot-tha","-27.4726, 152.931"
Mt Crosby mobile library,"Mt Crosby mobile library, outside Mt Crosby State School, Mt Crosby Road, Mt Crosby",Mobile library,-27.5513,152.8071,Mt Crosby,"M, Mt Crosby","-27.5513, 152.8071"
"Mt Crosby Sportsground, Chuwar","Mt Crosby Sportsground, 491 Allawah Road, Chuwar",Park,-27.5399,152.796,Chuwar,"C, Chuwar","-27.5399, 152.796"
"Mt Gravatt East Swimming Pool, Mt Gravatt East","Mt Gravatt East Swimming Pool, Corner of Wecker Road and Newnham Road, Mt Gravatt East",Swimming pool,-27.5333,153.0926,Mt Gravatt East,"M, Mt Gravatt East","-27.5333, 153.0926"
Mt Gravatt Library,"Mt Gravatt Library, 8 Creek Road, Mt Gravatt",Library,-27.5386,153.0801,Mt Gravatt,"M, Mt Gravatt","-27.5386, 153.0801"
"Mt Gravatt Park, Upper Mount Gravatt","Mt Gravatt Park, 1873 Logan Road, Upper Mount Gravatt",Park,-27.5551,153.0765,Upper Mt Gravatt,"U, Upper Mt Gravatt","-27.5551, 153.0765"
"Mt Gravatt PCYC, Upper Mount Gravatt","Mt Gravatt PCYC, 90 Klumpp Road, Upper Mount Gravatt",Non-Council venue,-27.5526005,153.0714013,Upper Mt Gravatt,"U, Upper Mt Gravatt","-27.5526005, 153.0714013"
Mt Ommaney Library,"Mt Ommaney Library, Mt Ommaney Shopping Centre, 171 Dandenong Road, Mt Ommaney",Library,-27.5521,152.9407,Mt Ommaney,"M, Mt Ommaney","-27.5521, 152.9407"
"Mt Petrie Road Park, Mackenzie","Mt Petrie Road Park, 422 Mt Petrie Road, Mackenzie",Park,-27.5407,153.1228,Mackenzie,"M, Mackenzie","-27.5407, 153.1228"
"Mulbeam Park, Boondall","Mulbeam Park, 131 Beams Road, Boondall",Park,-27.3517,153.0535,Boondall,"B, Boondall","-27.3517, 153.0535"
"Mulgrave Crescent Park, Forest Lake","Mulgrave Crescent Park, 2 Mulgrave Crescent, Forest Lake",Park,-27.6133,152.9753,Forest Lake,"F, Forest Lake","-27.6133, 152.9753"
"Mulley Park, Ellen Grove","Mulley Park, 24 Stephen Street, Ellen Grove",Park,-27.6109,152.9334,Ellen Grove,"E, Ellen Grove","-27.6109, 152.9334"
"Mungarie Street Park (no. 46), Keperra","Mungarie Street Park (no. 46), 46 Mungarie Street, Keperra",Park,-27.4195,152.9457,Keperra,"K, Keperra","-27.4195, 152.9457"
"Mungo Scott Park, Zillmere","Mungo Scott Park, 154 Handford Road, Zillmere",Park,-27.3534,153.0382,Zillmere,"Z, Zillmere","-27.3534, 153.0382"
"Munro Park, St Lucia","Munro Park, 65 Armadale Street, St Lucia",Park,-27.4957,152.9961,St Lucia,"S, St Lucia","-27.4957, 152.9961"
"Murarrie Recreation Ground, Murarrie","Murarrie Recreation Ground, 1238 Wynnum Road, Murarrie",Park,-27.4681,153.1047,Murarrie,"M, Murarrie","-27.4681, 153.1047"
Murarrie Recreation Hub,"55 Metroplex Avenue (no 55) Park, 55 Metroplex Ave, Murarrie",Park,-27.4514388,153.0971677,Murarrie,"M, Murarrie","-27.4514388, 153.0971677"
